	GSM1525024		GSM1525025		GSM1525026		GSM1525027		GSM1525028		GSM1525029		GSM1525030		GSM1525031		
ID_REF 	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	
ILMN_2896528	2464.863	0	2200.488	0	2222.587	0	2175.82	0	3645.589	0	4012.69	0	5868.093	0	3724.384	0	
ILMN_2721178	335.5043	0	322.5304	0	293.86	0	337.3252	0	532.9043	0	539.9688	0	705.0532	0	531.5961	0	
ILMN_3033922	1096.504	0	1098.42	0	1136.33	0	1119.667	0	1849.118	0	2076.424	0	2622.343	0	1718.874	0	
ILMN_3092673	5354.91	0	6469.261	0	6550.406	0	6264.521	0	10474.53	0	11517.71	0	14714.75	0	10481.31	0	
ILMN_2816356	85.15804	0.01002506	72.85574	0.03634085	90.34332	0.01002506	83.87105	0.00877193	172.1159	0.002506266	189.434	0.006265664	226.6954	0.07894737	213.6019	0.03007519	
ILMN_2808939	1334.826	0	1023.757	0	839.701	0	985.8907	0	1857.499	0	1549.476	0	2366.883	0	1385.17	0	
ILMN_2634564	358.3656	0	406.2668	0	416.208	0	403.5371	0	845.2009	0	825.3644	0	1061.581	0	865.4265	0	
ILMN_2737647	56.49963	0.160401	54.66623	0.1716792	56.20814	0.2744361	53.41823	0.226817	76.79675	0.2380952	96.02686	0.1654135	240.1855	0.0651629	191.8555	0.07393484	
ILMN_2734484	302.3447	0	343.9803	0	313.5062	0	336.7275	0	865.1715	0	1289.684	0	1963.611	0	1188.415	0	
ILMN_2952292	250.5968	0	240.244	0	258.3711	0	238.6146	0	462.657	0	366.6718	0	570.1149	0	421.8971	0	
ILMN_2699078	48.69625	0.3734336	38.32755	0.9473684	50.53283	0.5288221	40.14685	0.9674186	55.03342	0.7142857	58.814	0.6766917	74.79823	0.6879699	116.9724	0.5827067	
ILMN_1213681	260.9263	0	191.0536	0	203.2779	0	190.802	0	329.6344	0	378.2565	0	455.4852	0	379.286	0	
