probeset	T1_1_A6	T1_2_A6	T1_3_A6	T2_1_S3	T2_2_S3	T2_3_S3	Con_1_M4	Con_2_M4	Con_3_M4
20506571	3.75	3.74	3.52	3.67	3.68	4.68	4.5	4.54	4.59
20522862	1.53	1.53	1.82	1.72	1.68	3.21	3.66	3.84	4.21
20534230	6.14	6.39	6.38	6.12	6.36	4.19	2.91	3.06	3.87
20517948	2.37	2.26	2.24	2.56	2.12	5.45	4.03	4.5	5.03
20511620	7.82	7.36	7.73	6.17	7.5	3.29	3.35	4.62	3.08
20521292	7.82	7.36	7.73	6.17	7.5	3.29	3.35	4.62	3.08
20501479	4.84	4.91	4.62	4.69	4.63	5.48	5.87	5.65	5.62
20506901	8.78	8.94	9.03	9.09	8.9	7.75	6.47	6.66	6.77
20508971	8.78	8.94	9.03	9.09	8.9	7.75	6.47	6.66	6.77
20509380	8.78	8.94	9.03	9.09	8.9	7.75	6.47	6.66	6.77
20511358	8.78	8.94	9.03	9.09	8.9	7.75	6.47	6.66	6.77
20514309	8.78	8.94	9.03	9.09	8.9	7.75	6.47	6.66	6.77
20516888	8.78	8.94	9.03	9.09	8.9	7.75	6.47	6.66	6.77
20526178	4.38	4.25	4.14	4.92	4.36	5.91	6.06	5.83	6.58
20526129	6.58	6.58	6.65	7.04	6.58	7.56	8.14	7.82	7.83
20506765	9	9.25	9.47	9.34	8.71	7.93	7.78	7.55	7.15
20515790	1.79	1.31	1.13	1.54	1.41	2.66	3.23	3.25	3.94
20509227	7.03	6.97	6.84	7.33	7.04	8.02	8.33	8.13	8.8
20512746	3.35	3.34	2.72	2.93	3	4.11	4.73	4.94	5.09
20506741	1.61	1.28	0.69	1.55	1.36	3.43	4.34	4.28	5.76
20503794	2.84	2.68	2.15	1.63	2.38	0.59	0.22	0.78	0.18
20508427	2.84	2.68	2.15	1.63	2.38	0.59	0.22	0.78	0.18
20516439	2.84	2.68	2.15	1.63	2.38	0.59	0.22	0.78	0.18
20513089	0.41	0.32	0.73	0.67	0.53	1.71	2.09	1.57	1.38
20506763	9.15	9.41	9.59	9.51	8.91	8.2	8.38	8.1	8.09
20516824	9.15	9.41	9.59	9.51	8.91	8.2	8.38	8.1	8.09
20525386	4.79	5.15	4.94	5.02	4.92	4.38	4.13	4.03	4.27
20523082	10.52	10.15	10.33	9.03	10.1	6.08	6.83	8.01	5.96
20519794	4.27	3.27	3.18	3.06	3.07	1.8	0.27	0.59	0.64
20506346	3.25	3.39	3.21	3.13	2.93	4.17	5.27	5.13	5.65
20516899	7.64	7.61	7.63	8.16	7.83	8.71	9.89	9.6	9.79
20517582	3.67	3.68	3.64	4.17	3.58	4.61	5.63	5.37	5.5
20529566	6.03	5.36	5.78	4.64	5.52	3.41	0.49	1.24	1.26
20519642	2.24	1.93	2.16	2.06	2.44	2.84	3.37	3.05	3.22
20513121	0.5	0.87	0.8	0.57	0.57	0.09	-0.09	-0.24	-0.09
20503793	9.14	8.63	8.81	7.33	8.51	4.03	5.16	6.38	4.35
20504702	9.14	8.63	8.81	7.33	8.51	4.03	5.16	6.38	4.35
20507321	9.14	8.63	8.81	7.33	8.51	4.03	5.16	6.38	4.35
20508426	9.14	8.63	8.81	7.33	8.51	4.03	5.16	6.38	4.35
20508973	9.14	8.63	8.81	7.33	8.51	4.03	5.16	6.38	4.35
20509395	9.14	8.63	8.81	7.33	8.51	4.03	5.16	6.38	4.35
20513621	9.14	8.63	8.81	7.33	8.51	4.03	5.16	6.38	4.35
20513795	9.14	8.63	8.81	7.33	8.51	4.03	5.16	6.38	4.35
20516438	9.14	8.63	8.81	7.33	8.51	4.03	5.16	6.38	4.35
20519197	9.14	8.63	8.81	7.33	8.51	4.03	5.16	6.38	4.35
20509080	3.27	3.06	3	2.93	2.52	4.03	4.56	3.9	4.07
20506611	0.95	0.59	0.78	0.72	0.83	1.55	2.18	1.55	1.64
20538323	1.77	1.81	1.33	1.31	1.53	2.41	3.52	3.3	3.77
20500014	0.55	0.22	0.17	0.55	0.59	1.12	1.26	1.12	1.48
20519455	2.93	3.34	2.66	3.06	2.19	1.62	0.01	0.29	0.59
20515480	6	6.22	6.07	6.52	6.48	7.24	7.73	7.25	8.12
20536590	1.5	3	1.93	3.25	1.76	5.46	4.26	4.76	5.43
20538152	6.35	6.46	5.65	5.65	6.59	4.78	3.09	2.76	2.52
20513597	0.84	0.82	0.69	0.93	0.54	1.51	2.09	1.79	2.53
20513714	0.84	0.82	0.69	0.93	0.54	1.51	2.09	1.79	2.53
20504447	8.24	7.74	8.04	6.18	7.59	3.51	4.57	5.18	2.59
20515197	8.24	7.74	8.04	6.18	7.59	3.51	4.57	5.18	2.59
20525232	2.36	1.95	1.68	2.14	2.12	2.89	4.29	3.66	3.91
20534731	0.13	0.32	0.18	0.36	0.2	0.73	1.37	0.93	1.21
20527211	2.28	1.95	2.82	3.15	2.27	3.68	5.47	5.17	5.16
20515612	1.87	1.52	1.25	1.7	1.6	2.2	2.86	2.72	2.98
20517136	4.38	4.39	5.17	5.79	5.5	3.32	0.59	0.51	0.25
20501759	1.53	1.29	0.34	1.85	1.47	3.35	3.1	3.88	4.94
20502610	1.53	1.29	0.34	1.85	1.47	3.35	3.1	3.88	4.94
20505834	1.53	1.29	0.34	1.85	1.47	3.35	3.1	3.88	4.94
20506804	11.15	10.78	10.89	9.26	10.8	6.86	7.77	8.8	7.03
20510569	11.15	10.78	10.89	9.26	10.8	6.86	7.77	8.8	7.03
20523403	11.15	10.78	10.89	9.26	10.8	6.86	7.77	8.8	7.03
20507963	2.53	2.81	2.24	2.09	2.72	3.45	4.93	5.15	5.39
20505714	1.08	1.29	0.47	0.76	0.63	2.3	3.6	3.68	5.03
20505115	1.03	0.95	0.96	0.59	1.38	0.17	0.06	0.11	0.18
20507248	1.03	0.95	0.96	0.59	1.38	0.17	0.06	0.11	0.18
20515095	1.03	0.95	0.96	0.59	1.38	0.17	0.06	0.11	0.18
