gene_id	GCK1.1	GCK2	GCK3	control1.1	control2	control3	dex1.1	dex2	dex3
ENSG00000198554.12_9	143	154	222	339	179	257	121	273	253
ENSG00000147854.17_7	354	204	141	624	153	300	173	655	311
ENSG00000243902.6_8	0	0	0	0	0	0	0	0	0
ENSG00000241353.3_4	0	0	0	8	0	0	6	0	0
ENSG00000054611.14_5	342	264	102	306	373	177	238	383	203
ENSG00000214465.3_5	0	0	0	5	0	0	0	0	0
ENSG00000176907.5_5	0	4	0	0	0	0	0	27	0
ENSG00000263642.1	0	0	0	0	0	0	0	0	0
ENSG00000253138.5_5	0	0	0	0	0	0	0	0	0
ENSG00000261151.1_6	0	0	0	0	0	0	0	0	0
ENSG00000109445.11_6	1396	1433	702	1930	1105	1235	1613	1982	906
ENSG00000282993.1_5	0	0	0	0	0	0	0	0	0
ENSG00000236495.2_7	0	0	0	0	0	0	0	0	0
ENSG00000142405.22_6	0	0	0	0	0	0	0	0	0
ENSG00000261123.1_8	0	0	0	0	0	0	0	0	0
ENSG00000201788.1	0	0	0	0	0	0	0	0	0
ENSG00000226375.1_7	0	0	0	0	0	0	0	0	0
ENSG00000267099.1_2	0	0	4	0	2	2	0	0	1
ENSG00000234722.5_8	0	0	0	0	0	0	0	0	0
ENSG00000167355.8_7	14	0	0	0	0	3	0	0	0
ENSG00000280703.1_6	0	0	0	0	0	0	0	0	0
ENSG00000228301.1_4	0	0	0	0	0	0	0	0	0
ENSG00000264310.1	0	0	0	0	0	0	0	0	0
ENSG00000171401.15_7	9	0	0	7	7	0	0	0	0
ENSG00000224470.8_5	161	163	101	187	52	176	164	171	186
ENSG00000231831.1_4	5	7	0	0	0	0	0	2	2
ENSG00000242550.6_5	0	0	0	0	0	0	0	0	0
ENSG00000273018.6_10	13	5	41	21	7	18	23	0	0
ENSG00000176239.7_4	0	0	0	0	0	0	0	0	0
ENSG00000282304.1_8	43	2	59	9	12	49	9	0	35
ENSG00000183909.6_5	0	0	0	0	0	0	0	0	0
ENSG00000205488.9_10	0	0	0	0	0	0	0	0	0
ENSG00000268659.2_8	0	0	0	0	0	0	0	0	0
ENSG00000064607.17_5	950	852	534	1417	714	912	742	930	680
ENSG00000264734.1_7	0	0	0	0	0	0	0	0	0
ENSG00000267110.1_9	0	0	0	0	0	0	0	0	2
ENSG00000163520.14_6	7450	436	600	6396	424	843	6468	359	477
ENSG00000205413.8_6	125	315	81	228	420	96	73	907	100
ENSG00000237613.2_4	0	0	0	0	0	0	0	0	0
ENSG00000259996.1_2	0	0	0	0	0	0	0	0	0
ENSG00000256269.10_8	4688	3515	3261	4121	2160	5091	2927	2330	5219
ENSG00000279687.1_7	0	0	0	0	0	0	0	0	0
ENSG00000254856.1_4	0	0	0	2	0	0	0	0	0
ENSG00000248317.2_7	0	0	0	0	0	0	0	0	0
ENSG00000217686.2_4	0	0	0	0	0	0	0	0	0
ENSG00000218976.2_7	0	0	0	0	3	0	0	0	0
ENSG00000198443.6_4	0	0	0	0	0	0	0	0	0
ENSG00000231364.3_6	0	0	0	0	0	0	0	0	0
ENSG00000249685.1_6	0	7	0	8	3	6	0	7	0
ENSG00000286860.1_1	0	0	0	0	0	0	0	0	0
ENSG00000269177.1_6	0	0	0	0	0	0	0	0	0
ENSG00000287454.1_2	4	26	10	12	9	27	18	16	17
ENSG00000279429.1_2	0	0	0	0	0	0	0	0	0
ENSG00000237058.1_7	0	0	0	0	0	0	0	0	0
ENSG00000230627.1_7	0	0	0	0	0	0	0	0	0
ENSG00000072195.15_3	181	70	74	146	151	102	84	98	33
ENSG00000169180.11_8	3250	1730	775	2825	1624	1559	2199	1239	1434
ENSG00000141293.16_6	0	0	0	0	0	0	0	0	0
ENSG00000128708.13_5	2543	2476	3168	4486	1446	4856	1738	4785	4781
ENSG00000199564.1_1	0	0	0	0	0	0	0	0	0
ENSG00000231420.1_6	0	0	0	0	0	0	0	4	0
ENSG00000266995.1_6	3	0	2	2	0	1	0	0	0
ENSG00000213247.3_5	0	0	0	0	0	0	0	0	0
ENSG00000120370.12_5	104	118	68	157	60	188	69	246	131
ENSG00000250132.6_8	31	5	22	26	13	40	33	79	6
ENSG00000172590.18_4	2375	1564	2026	2238	1212	2412	1441	1331	2520
ENSG00000140945.17_6	2873	4352	3007	3890	3672	6597	2657	8076	3595
ENSG00000257275.6_7	0	0	0	0	0	0	0	0	0
ENSG00000264085.1	0	0	0	0	0	0	0	0	0
ENSG00000273214.1_6	0	0	0	0	0	0	0	0	0
ENSG00000224342.1_3	0	0	0	0	0	0	0	0	0
ENSG00000216636.1_4	0	0	0	0	0	0	0	0	0
ENSG00000279482.1_5	0	0	2	0	0	0	0	0	0
ENSG00000175785.13_5	0	0	0	0	0	0	0	0	0
ENSG00000284691.1_5	84	85	14	100	10	54	46	0	43
ENSG00000213809.9_6	0	0	0	0	0	0	8	0	0
ENSG00000125827.9_5	330	296	186	558	298	482	435	1161	276
ENSG00000229996.1_7	0	0	0	0	0	0	0	0	0
ENSG00000182197.12_8	1593	1468	734	2596	1447	2203	957	3356	1079
ENSG00000199812.1	0	0	0	0	0	0	0	0	0
ENSG00000170502.13_5	1888	1403	1224	2547	989	1949	1468	2718	1629
ENSG00000224269.1_7	0	0	0	0	0	0	0	0	0
ENSG00000132485.14_7	1307	1132	634	1505	907	1114	966	1805	1147
ENSG00000226666.1_4	0	2	4	0	0	0	0	0	4
ENSG00000286963.1_1	0	0	0	0	0	0	0	0	0
ENSG00000257093.7_7	57	42	4	45	6	37	27	43	29
ENSG00000197162.10_7	64	37	33	51	41	81	31	47	76
ENSG00000186815.12_6	386	290	62	356	277	165	239	360	77
ENSG00000149476.15_4	637	364	267	568	362	408	585	382	411
ENSG00000207000.1	0	0	0	0	0	0	0	0	0
ENSG00000104369.5_5	26	7	0	15	4	0	26	11	0
ENSG00000147119.4_4	69	43	29	62	61	86	43	71	0
ENSG00000251012.2_7	0	0	0	0	0	0	0	0	0
ENSG00000286600.1_2	0	0	0	0	0	0	0	0	0
ENSG00000169282.17_6	10	13	20	47	7	40	14	62	48
ENSG00000257539.2_5	0	0	0	0	0	0	0	0	0
ENSG00000215310.2_5	0	0	0	0	0	0	0	0	0
ENSG00000242863.2	0	0	0	0	0	0	0	0	0
ENSG00000162078.11_5	28	13	0	21	0	0	60	7	0
ENSG00000248744.1_7	0	0	0	0	0	0	0	0	0
ENSG00000136450.13_7	283	421	387	537	147	615	324	727	638
ENSG00000213212.3_5	0	0	0	0	3	4	0	0	0
ENSG00000267384.3_4	0	0	0	0	0	0	0	0	0
ENSG00000254083.6_7	0	0	0	0	0	0	0	0	0
ENSG00000204625.10_4	0	0	0	0	0	0	0	0	0
ENSG00000237911.2_4	0	0	0	0	0	0	0	0	0
ENSG00000226948.2_7	0	4	0	0	0	2	0	0	2
ENSG00000252628.1	0	0	0	0	0	0	0	0	0
ENSG00000232583.1_5	0	0	0	0	0	0	0	0	0
ENSG00000265191.1	0	0	2	0	0	0	0	0	0
ENSG00000267589.1_5	0	0	0	0	0	0	0	0	0
ENSG00000096092.6_4	5960	4199	3046	8544	2612	5373	4075	6716	3764
ENSG00000227549.2_9	0	0	0	0	0	0	0	0	0
ENSG00000260576.1_4	0	0	0	0	0	0	0	0	0
ENSG00000248822.1_4	0	0	0	0	0	0	0	0	0
ENSG00000199903.1	0	0	0	0	0	0	0	0	0
ENSG00000230914.3_7	0	0	0	0	0	0	0	0	0
ENSG00000188227.13_8	56	88	6	52	89	38	56	97	32
ENSG00000238455.1	0	0	0	0	0	0	0	0	0
ENSG00000249894.1_8	0	0	0	0	0	0	0	0	0
ENSG00000278961.2_8	0	0	18	0	0	8	0	0	0
ENSG00000264091.1	0	0	0	0	0	0	0	0	0
ENSG00000266304.1_7	0	0	0	0	0	0	0	2	0
ENSG00000238921.2	0	0	0	0	0	0	0	0	0
ENSG00000236489.1_6	0	0	0	0	0	0	0	0	0
ENSG00000225808.1_4	0	0	0	0	0	0	0	3	0
ENSG00000200291.1	0	0	0	0	0	0	0	0	0
ENSG00000258876.1_7	0	0	0	0	0	0	0	0	0
ENSG00000271382.1_7	0	0	7	0	0	0	0	4	0
ENSG00000115263.15_5	0	0	0	0	0	0	0	0	0
ENSG00000144476.6_5	4	0	0	7	0	4	0	12	0
ENSG00000108479.12_7	4332	1822	1285	3167	1551	693	3259	594	1110
ENSG00000286163.1_2	0	0	0	0	0	0	0	0	0
