gene	UT1	UT2	Ab1	Ab2	L1	L2	LAb1	LAb2
Akap12	0.138849286	0.29226857	0.152016911	0.093233139	1.945646471	1.975812707	25.66093608	28.75126772
Fcor	0.504118818	0.640376555	0.90520024	1.155689233	0.623015794	0.24079099	1.209845426	2.956311664
Mcemp1	0.685410178	0.569414107	0.977978368	1.049652872	4.14120628	3.495928441	18.18180481	13.13660968
Lcn2	0.095886184	0.085068873	0.127322014	0.039857196	46.62846872	42.13306818	167.7025456	135.6079317
Timp1	0.445077875	0.282688749	0.423098364	0.882985017	26.34739407	24.41244624	85.80205723	83.71190395
Myadml2	1.485823883	1.625283185	1.353596644	1.989703832	0.030604285	0.073927058	0.138330784	0.17567217
Cox6a2	0.845409953	1.025439581	4.573610349	5.432262333	1.963354872	0.83285354	3.655549183	4.672879728
Trf	0.941537139	0.827517387	0.917902554	1.186107745	0.166738042	0.17058446	0.507361019	0.472917948
Zbtb8a	2.732284106	2.992286598	2.913745904	2.740132163	0.231490229	0.379566552	0.901888367	0.869747541
Klf2	6.97394553	6.984315067	7.187403494	7.971565151	0.85506416	1.047642876	2.939606131	2.368064659
ATP8	2.99416025	7.656615538	25.78411204	4.099820629	3.112635773	3.70157129	5.371092001	13.37726353
Mir3060	1.082226596	1.848262184	1.760361063	1.469514021	0.980812014	0.758153156	1.576267244	3.152786322
Vgf	0.169195736	0.239234744	0.1474369	0.257876373	5.065714251	4.931693199	14.49451428	12.41071589
Fos	2.604613891	2.330259129	2.121008406	2.363236317	3.648103596	5.290713131	13.58642508	10.30735545
Frat1	1.395136643	1.152383823	0.87036761	0.839882918	0.018685707	0.072218874	0.112612054	0.128709771
Ptprn	0.046508491	0.026257431	0.029474492	0.077914925	0.942632134	1.099625409	2.367044054	2.507452525
Rrad	2.756829856	2.64416456	2.051548607	3.392036123	0.402649142	0.748177456	1.420714556	1.303783817
Ankrd9	1.813551493	1.328398566	0.951167967	1.516349797	0.412189353	0.338529779	0.859090589	0.910915795
Gm5431	0.80940013	1.314431927	1.11336293	0.906854421	0.126474465	0.1670116	0.342997303	0.33878983
Serpinb6b	1.008642843	1.257727486	2.297674756	2.110628259	4.390673055	4.277180354	9.687911302	10.43651122
Cd300e	1.257958402	0.957389815	0.859751366	1.036682333	6.080406047	6.69586294	15.12630414	14.45705582
LOC105242404	0.539930537	0.152415063	0.057029652	0.380857654	0.622788831	0.773689081	1.429838047	1.787440333
Ccl22	0.309074606	0.239930809	1.059353379	0.554577887	123.6972269	119.2495023	278.0563385	277.1650778
