"","UT1","UT2","Ab1","Ab2","L1","L2","LAb1","LAb2"
"Fcor",2.99018599385534,3.09010927870604,3.17749792689453,3.28046492997605,3.02039294704619,2.80265417046957,3.27511876649129,3.89714564220576
"Mcemp1",3.09819376514872,3.04651256227795,3.21319687777184,3.23214023180536,4.22980294019609,4.09625404899937,5.86083308063003,5.48407133458386
"Timp1",2.9531907555317,2.85557478499178,2.91568658223973,3.1527523244612,6.42587570579269,6.36062495964364,7.97204495121167,7.97588181734429
"Cox6a2",3.18723097480683,3.30612823178867,4.35562118416332,4.49990532628055,3.60535725627144,3.14063563689723,4.05833548977944,4.31713984842254
"Trf",3.23819600671114,3.19913645062356,3.18379261093189,3.29403415483044,2.7512103196304,2.75677087657438,2.94035894178851,2.92888283545259
"Zbtb8a",3.95768827307238,4.08038564078764,3.93573845516746,3.85792940077181,2.79260763398439,2.88927053802986,3.13781691556627,3.13407462454618
"Klf2",4.90639702944557,4.96239367281303,4.83860931081691,4.92082011201843,3.14016561264432,3.24600239517189,3.86958366560466,3.71958730691576
"ATP8",4.03824529041894,5.06945091410556,6.43516876164301,4.21752777862399,3.96804501385486,4.1492316371382,4.43001621847599,5.50664534046629
"Mir3060",3.30968426549862,3.68147926799804,3.54976204695986,3.41467676152734,3.20114269256413,3.10210950652119,3.42309839506619,3.95189389455259
"Fos",3.91672166703442,3.86314524301929,3.68189733686469,3.7400409023703,4.11021837569201,4.503822739214,5.49187327778815,5.18823075818381
"Rrad",3.96543287329931,3.97023626542182,3.65737175677747,4.04153348104418,2.89663543136817,3.09688586217688,3.36212212443954,3.32943104204131
"Ankrd9",3.63311256573721,3.45592212860508,3.2001484484098,3.43367765056575,2.90221889299183,2.86419460081385,3.11765796050971,3.15378206768471
"Serpinb6b",3.27273644642806,3.42234489442306,3.74246012604367,3.65526756646101,4.28672488741947,4.2879427643122,5.08215661636901,5.20314297575204
"Cd300e",3.39427324712067,3.27023023692105,3.15474790980942,3.22611640308382,4.6224849744283,4.75802865095603,5.62629562519135,5.60379866255792
"Ccl22",2.86417826335375,2.82480520989538,3.25209384620053,2.98225038136794,8.5722709199739,8.55922928885269,9.64338047961957,9.6779941023528
"Gm7536",5.94275572108779,5.64667309583072,5.78094793245099,6.62045222204574,6.87445784304842,6.63153904353899,8.43135267114238,6.49687505828503
"Tubb4b-ps1",3.96112266132501,4.01980718293777,4.10643485536232,3.97416336107871,2.96611162313093,2.9909291936436,3.22836620628453,3.29853927329066
"Snord34",3.81741965034162,3.29078201259768,3.01533879845906,3.69939251901709,3.38573744753504,2.79229089276446,3.44560998677472,3.54971495568591
"Snora69",3.01741326987051,3.32637748323401,3.48421450358053,4.31318695885119,3.373819844969,3.26160455418284,3.81412167266423,3.73795588727045
"Aunip",5.52289477164242,5.60233783153949,5.64607104363409,5.78321795097591,3.62921267977058,3.84456352851111,4.34227006085902,4.35173134444066
"Pear1",3.11961469601543,3.14957816419858,2.97312728753198,2.9783113780816,3.39090379247252,3.44038167813812,4.02588487203279,3.77439501418827
"A530040E14Rik",3.35120370511994,3.23958429411544,3.14962676959565,3.74551445003748,3.49343197205068,3.42351818186212,3.97008991429426,3.93385080930991
"Rpp25l",7.31841694747167,7.02443533059374,6.11714853655846,7.48439797783684,6.60701393844146,6.81250268764261,7.63830563340524,7.58079256877849
"Procr",3.04393489381739,2.8498485822699,2.8456650457006,2.90133728508452,5.07448174905983,5.19339095388358,5.96479507602018,5.92553898320437
"Gm17828",7.13858730662624,7.11146269935152,6.2047390299561,6.33766275149051,5.93070253846148,5.9405639519354,6.41276315846559,7.10889204935319
"A530032D15Rik",3.26702265495294,3.35572659167255,3.39043562146245,3.66211111670047,4.3396318315693,4.08014065628999,4.83732479222326,4.96003154747257
"Gm23966",2.8821044759533,3.31508808868948,3.30355478009847,2.85024903070831,3.43747212787051,3.09002249969544,3.67475851755234,3.6880457013326
"C1qtnf6",3.09785652634588,3.18068767917224,2.86527378448379,3.00691839774338,2.99951084120908,2.97088641898061,3.23096696707404,3.25020988721688
"Serpinb9",3.09137407687723,3.15288206812544,3.2595969528797,3.15504395905855,3.46805744668993,3.52115304689793,3.84021766488165,4.10661047263577
"Oasl1",6.04145753143014,6.2012261478428,6.1943723186435,6.01239895921076,9.39966973322571,9.52033719036733,10.3301584230902,10.3465789459714
"Mir5620",3.40603137090702,3.29078201259768,3.27957765166984,2.84144166797655,3.14863916971086,2.82824128406457,2.98092336881,3.47547259802076
"Niban3",3.50922608922371,3.54145720010578,3.4586687426138,3.63442929610739,2.83628148418331,2.94469193063836,3.1306456008581,3.01090128135418
"Rasl2-9",3.14182378555282,3.1670420924229,2.85895883785937,2.93168664738425,2.82859233928295,3.01149978146143,3.09282972540217,3.15055249429712
"Gm23969",5.20293536408375,4.92898588475105,4.46211414945311,3.95122371447957,3.89584632643036,3.89004519766205,4.02847310209594,4.79246934064498
"Nes",4.10828242017676,4.28521105055099,4.12134325012625,4.01103108676227,3.98802415822641,4.25868985200695,4.6714270213985,4.8016133558189
"Snhg10",3.27783568805085,3.15950154676275,2.79062621206977,3.25115130349135,2.91418628238483,2.89012640067667,3.02329291142943,3.14056215411205
"Ass1",2.891395722006,2.8843569863414,2.90050884681729,2.84535214758742,4.25006205385375,3.98715659223531,4.79117658982937,4.63520219796552
"Pla2g2e",3.36455977092364,3.32637748323401,3.46581880254331,3.46547198484008,3.19910985418445,3.37726976208336,3.6424824335004,3.65822000945063
"Ifit3",2.81453271946464,2.85345859477641,2.92015533916499,3.05448172052902,4.11023542747936,4.03394565163641,4.63007651196377,4.65557546400198
"Wnt6",3.49243186998857,3.36721320928915,3.28648490964401,3.75216814955955,4.31613145480265,4.53167726424414,5.14641442677668,4.94547544309654
"Gm10029",3.75082733691118,4.01715169132797,3.81843313791564,4.02408236603502,3.89623744934692,3.89043518698956,4.35839196692503,4.48172476563137
"Rhod",3.42808086205889,3.43178577930585,3.22899389259052,3.54724436463083,3.73347772673306,3.6049366031574,4.26015585122986,4.00715342021884
"S100a11",11.1466012859046,11.099439769847,12.8387502615986,11.506935717992,9.92321010138676,10.0089180085776,10.7744190699463,10.7650937714133
"Lsp1",6.24731932052267,6.3480656936245,6.70067403268417,6.2766738012088,5.48553444542716,5.36318183436127,6.15087249384438,6.11554104830712
"Gm14586",3.00511807961696,2.87322593742339,3.41811993096438,3.40751481204051,3.04989350235007,3.18697808001402,3.52229816874874,3.2407690357286
"Gm7324",4.19727672580456,4.16114981181684,4.49363768873777,4.05431007128287,3.37783176266662,3.48588534639084,3.78193977361574,3.85608591756218
"Mblac1",4.06672669958597,3.79923709380567,3.47877508868358,3.97803736875073,2.82674055414031,3.1513254811604,3.30789558048053,3.10018181452415
"Ccdc166",3.83852717000766,3.84242136035889,3.75206682746198,4.03431791876347,3.06421921992697,3.11626387140408,3.33789189644603,3.35585841277077
"Isg15",5.54044614305571,5.37318295598685,5.66412572611798,6.18321038544294,9.43058560598906,9.41068727229958,10.2404967629858,10.1229255537804
"Tmem238",4.40026063494694,4.2559717044698,4.30273935847493,4.64051583189073,3.36025812666033,3.55309253370018,4.01077427928894,3.645497646474
"Cox7a1",3.33886989174288,3.27401682963503,3.33863475243645,3.27337249016347,2.83779649107189,3.1054388505613,3.28058041674756,3.04920686563091
"Aldh1b1",3.5568557969024,3.52304661100371,3.14253179597927,3.37764512541704,3.45798319676672,3.87817815140248,4.16725187807889,4.07214428036622
"Gm4332",4.29815526242122,4.0400606248764,4.54384674859397,5.27646129094748,5.1055695600489,5.11516516277886,5.7506650224798,5.76961919997646
"Icam2",3.72644309686568,3.71825984404233,3.80514673672163,4.09927340334503,2.78682367925377,2.85411534687561,2.94922350577319,2.91697773379099
"Rtl8c",3.65983000811218,3.46898598963676,3.5129627453421,3.12436882303545,3.01284786721615,3.074674037095,3.26352415648916,3.26992889425221
"Odf3l1",3.10742371118442,2.98303364667005,3.23478241881001,2.85498515731202,3.0339192505913,3.08984447595529,3.2063102000287,3.37627481715617
"Tsacc",3.05655688498725,3.07437978906756,2.96468868932486,3.21763097664147,2.88369632122081,2.91618665826933,3.08652469308407,3.01819961205359
